tweet_id,source,text,rating_out_of_10,name,retweet_count,favorite_count,jpg_url,dog_breed_prediction,dog_stage,post_date,post_time
892420643555336193,Twitter for IPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,Phineas,6975,33710,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,none found,dog,2017-08-01,16:23:56
892177421306343426,Twitter for IPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,Tilly,5276,29234,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua,dog,2017-08-01,00:17:27
891815181378084864,Twitter for IPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,Archie,3466,21982,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua,dog,2017-07-31,00:18:03
891689557279858688,Twitter for IPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,Darla,7197,36808,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,labrador retriever,dog,2017-07-30,15:58:51
891327558926688256,Twitter for IPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,Franklin,7721,35191,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,dog,2017-07-29,16:00:24
891087950875897856,Twitter for IPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,None,2589,17753,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,chesapeake bay retriever,dog,2017-07-29,00:08:17
890971913173991426,Twitter for IPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,Jax,1648,10324,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller,dog,2017-07-28,16:27:12
890729181411237888,Twitter for IPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,None,15688,56683,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,pomeranian,dog,2017-07-28,00:22:40
890609185150312448,Twitter for IPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,Zoey,3605,24430,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish terrier,dog,2017-07-27,16:25:51
890240255349198849,Twitter for IPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,Cassie,6074,27859,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke,doggo,2017-07-26,15:59:51
890006608113172480,Twitter for IPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,Koda,6115,26953,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,samoyed,dog,2017-07-26,00:31:25
889880896479866881,Twitter for IPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,Bruno,4142,24495,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,french bulldog,dog,2017-07-25,16:11:53
889665388333682689,Twitter for IPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,None,8305,41887,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,pembroke,puppo,2017-07-25,01:55:32
889638837579907072,Twitter for IPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,Ted,3701,23589,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,french bulldog,dog,2017-07-25,00:10:02
889531135344209921,Twitter for IPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,Stuart,1874,13315,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever,puppo,2017-07-24,17:02:04
889278841981685760,Twitter for IPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,Oliver,4423,22035,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,dog,2017-07-24,00:19:32
888917238123831296,Twitter for IPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12.0,Jim,3745,25535,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden retriever,dog,2017-07-23,00:22:39
888804989199671297,Twitter for IPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13.0,Zeke,3517,22397,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden retriever,dog,2017-07-22,16:56:37
888554962724278272,Twitter for IPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13.0,Ralphus,2865,17256,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,siberian husky,dog,2017-07-22,00:23:06
